sample_id,AC004687.1_T,AC004817.3_T,AC005224.3_T,AC016596.1_T,AC097534.2_T,AL627171.1_T,ANKRD28_T,ARID5B_T,ATXN1_T,BATF_T,BAX_T,BHLHE40_T,BTG2_T,CBLB_T,CCNH_T,CD38_T,CEMIP2_T,CH25H_T,CITED2_T,CRYBG1_T,CSF1_T,CSF2_T,CTLA4_T,CYTOR_T,DTHD1_T,EGR1_T,ERN1_T,GABPB1-AS1_T,GADD45G_T,GEM_T,GNG4_T,HAVCR2_T,HLA-DPB1_T,HMGB2_T,ICA1_T,IER2_T,IFNG_T,IL12RB2_T,IL6ST_T,IRF1_T,JUN_T,JUNB_T,KLF10_T,KLRB1_T,LINC02175_T,LINC02273_T,LMO4_T,LTA_T,MIR4435-2HG_T,MNDA_T,MTHFD2_T,NCR3_T,NEAT1_T,NFKBIA_T,NR4A2_T,OGFRL1_T,PAQR6_T,PDK4_T,PELI1_T,PIM3_T,PLEC_T,PMAIP1_T,PNMA5_T,PRDM1_T,RGCC_T,RGS1_T,RGS16_T,SLA_T,SOCS3_T,SRGN_T,SSH2_T,SYTL3_T,TAGAP_T,TGIF1_T,TNF_T,TNFAIP3_T,TNFSF14_T,TNS3_T,TRAV8-2_T,TSC22D3_T,TSPYL2_T,TXNIP_T,WDR97_T,ZBTB32_T,ZFP36_T,ZFP36L1_T,AL603756.1_T,ARHGEF40_M,C6orf47_M,CASP10_M,CCL18_M,CD163_M,CD300A_M,CEP57_M,CHM_M,CSNK1G3_M,CSTF2_M,CYP2U1_M,DCUN1D1_M,DDIT4_M,DHRSX_M,DNAJC16_M,DNMT3A_M,DRG1_M,ENTPD1_M,EVL_M,FNBP4_M,GAMT_M,GPR84_M,GTF2IRD2_M,GUCD1_M,H1F0_M,H2AFY_M,HSCB_M,IER3_M,IL3RA_M,IL6R_M,IRAK3_M,KDM2B_M,LARS_M,LMBRD1_M,MAML1_M,METTL3_M,MIA2_M,MIR155HG_M,MMP2_M,MNDA_M,MPV17L2_M,MRPL49_M,MRPS27_M,MTG1_M,MYO1F_M,NAB1_M,NDUFS6_M,NUPL2_M,OXA1L_M,PADI2_M,PBX2_M,PDE8A_M,PER1_M,PFKFB3_M,PHPT1_M,POLR1C_M,PRDM1_M,PSMB8_M,PXN_M,RAB3GAP2_M,RGS1_M,RUFY2_M,SCARB1_M,SENP3_M,SETD5_M,SLC18B1_M,SMPDL3A_M,SPTY2D1_M,TMCO3_M,TMEM184C_M,TMEM259_M,TRAK1_M,TRAPPC6B_M,TRMT61B_M,TSC22D3_M,USP13_M,XPO4_M,ZNF180_M,ZNF350_M,ZNF503_M,ZNF513_M,ZNF785_M,treatment,patient_id
BIOKEY_10_Pre,506.46426,41.608524,17.049347,7.727849,61.49718,46.590008,284.9638,842.3711,623.52985,1861.5559,1418.4265,2611.8074,1201.3706,1373.103,539.75195,297.00873,715.2213,5.77251,819.26447,147.33945,961.60443,544.2828,1469.5284,1399.7164,82.97885,417.02466,165.18596,594.52673,553.1444,645.4779,483.71213,1428.8965,2150.8403,1221.8008,264.83405,1816.7638,2534.2092,191.67603,412.6874,1877.9917,4380.978,4382.8003,541.7176,912.02856,0.0,38.803272,762.45776,1068.9482,1406.113,27.116179,1365.7537,83.56714,1703.4421,2430.4543,803.60254,34.432262,0.0,0.0,749.7832,1090.3569,1314.1145,134.55722,0.0,1083.6306,2155.8286,2882.1052,1820.3167,1933.2145,450.7106,6007.7715,558.47833,387.77917,277.57315,670.0124,1342.2528,1973.5826,613.8025,811.92303,173.21793,1660.058,480.95407,1921.4141,0.0,55.006252,1896.5833,5021.879,0.0,48.53446,0.0,47.774437,0.0,226.80647,77.64282,60.72979,39.93039,0.0,0.0,57.540234,56.37851,117.70646,0.0,17.673048,30.86141,66.85954,76.889015,205.10086,195.75908,55.086994,18.640854,22.25734,59.248493,95.3934,301.48068,18.640854,365.33914,0.0,66.31453,36.313904,83.79778,142.21248,117.67836,18.350302,58.280693,22.25734,28.561472,40.3657,513.04004,25.5171,22.25734,43.19015,54.664207,257.07074,30.86141,306.07584,54.119186,198.66827,68.301094,68.301094,36.991158,17.673048,0.0,212.451,36.991158,48.21869,270.02963,115.30685,36.446136,46.911774,17.673048,129.56828,17.673048,117.93643,0.0,71.138435,25.5171,18.640854,67.175316,28.561472,28.561472,94.444275,25.5171,87.10018,22.25734,28.561472,18.350302,22.25734,22.25734,25.5171,29.868385,0,BIOKEY_10
BIOKEY_10_On,222.16061,220.69278,88.135345,15.073813,156.74312,89.30786,1078.5476,1809.6962,949.7476,2548.1748,1477.0314,1729.4846,641.3796,2302.619,818.6865,654.128,1622.6157,224.21892,1394.4988,718.2127,465.57504,63.937347,2676.6492,1654.698,242.9114,241.50658,655.3846,989.1961,176.97183,393.24765,873.24835,1559.9576,2364.755,1875.6049,483.6759,1167.0421,1747.2014,519.7228,1625.8015,1150.8995,3309.2524,3555.2375,118.1193,842.60254,5.8824973,31.31172,1381.7992,527.3763,1827.0276,45.771038,1858.089,115.67141,2677.6917,3701.2898,461.2224,158.28206,26.38907,49.59522,1176.564,869.7455,1122.219,848.99567,17.123451,2848.2788,1656.7814,5018.5903,340.0507,3204.4426,320.06735,6580.1997,667.9453,925.46924,1074.9874,1538.7369,811.5045,2721.3044,96.23363,961.65985,162.66733,4591.6514,922.1058,3622.49,14.171753,246.40874,4332.005,3394.4495,41.200546,0.0,0.0,0.0,0.0,549.24023,228.61923,0.0,0.0,0.0,0.0,0.0,0.0,315.25693,0.0,0.0,0.0,0.0,82.95032,142.93414,0.0,0.0,0.0,0.0,0.0,82.95032,315.25693,0.0,290.01154,0.0,82.95032,82.95032,0.0,82.95032,0.0,0.0,0.0,0.0,0.0,0.0,358.3896,0.0,0.0,0.0,0.0,0.0,0.0,315.25693,0.0,82.95032,0.0,0.0,0.0,82.95032,82.95032,549.24023,0.0,0.0,315.25693,0.0,0.0,589.60767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.93414,0.0,0.0,0.0,596.2983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,BIOKEY_10
BIOKEY_16_Pre,386.51886,99.95024,74.96751,0.0,103.09739,19.702888,285.86972,1550.8035,857.3182,2112.12,1314.8701,1131.745,868.909,1553.8528,791.3521,689.6055,1348.8899,16.267012,672.0197,646.0257,394.04324,253.38939,3100.7961,1166.8013,248.96805,182.06224,326.63644,443.45813,568.43146,367.27924,559.57825,573.388,2274.656,2266.4858,246.51361,1502.1101,1363.7423,172.74294,2243.6768,1073.9222,2000.9906,5882.5967,87.22931,2023.4734,0.0,0.0,575.32983,793.722,1173.3478,27.83159,1560.7352,110.247475,1752.9738,3152.3374,1292.4607,69.97286,0.0,0.0,705.4955,828.5165,833.2038,457.00925,0.0,1172.0747,1175.2502,3450.2366,307.17664,2287.8389,604.98065,7028.027,758.24036,532.312,890.655,614.2394,1124.092,2376.7637,318.4899,60.373615,382.0351,4508.629,433.54025,2854.6272,0.0,71.67211,2441.8284,4529.303,13.0278845,0.0,0.0,0.0,0.0,546.4998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.08981,0.0,253.08981,0.0,0.0,0.0,0.0,0.0,0.0,253.08981,0.0,368.84924,0.0,0.0,0.0,0.0,253.08981,253.08981,0.0,0.0,0.0,0.0,0.0,253.08981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.08981,0.0,0.0,0.0,0.0,0.0,253.08981,0.0,444.7726,253.08981,368.84924,0.0,0.0,0.0,253.08981,0.0,0.0,253.08981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,BIOKEY_16
BIOKEY_16_On,155.60034,227.0774,61.56706,33.58652,143.87631,125.329636,576.4759,1913.3204,714.04626,2988.9307,1868.7582,817.0093,522.13116,1773.8451,991.96625,808.7434,1451.865,305.32745,1507.3015,1053.1093,399.5525,62.701744,3007.8215,1571.3663,435.26416,140.27379,616.1592,621.97675,265.5256,253.32967,869.64087,953.9775,2534.3372,2933.0562,775.0447,871.8336,938.0642,560.7391,2836.493,924.34875,1904.8234,3304.5938,106.87217,1276.3383,8.047456,78.53503,478.38046,501.7316,1844.8008,53.88414,1834.3832,148.80025,2877.8218,4382.2666,357.68042,252.65778,24.886934,43.218407,1129.1101,764.05896,779.4953,608.13306,40.779808,2053.8994,1098.9232,3995.3738,95.10699,3008.762,276.28464,6650.4287,869.3243,824.9127,1367.6206,869.2225,483.65283,2744.723,110.11135,289.40955,188.24095,4298.571,994.8124,4096.065,3.5153852,136.81165,3376.727,2484.6921,41.582302,0.0,0.0,0.0,0.0,612.9699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341.71738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,699.12067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341.71738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,471.45645,0.0,341.71738,471.45645,341.71738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,612.9699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,BIOKEY_16
BIOKEY_14_Pre,468.9813,0.0,0.0,0.0,0.0,134.69818,248.65332,1587.1578,453.59894,2657.4958,1969.6627,1085.725,1907.5781,439.8979,547.5314,0.0,1376.6819,0.0,777.35345,94.40839,277.80853,535.6125,1340.6698,543.1259,142.81491,469.14398,0.0,459.80865,479.16324,716.1904,1211.2632,0.0,1818.1151,1668.5435,789.10223,2290.9612,400.4483,0.0,1303.7039,1814.8966,1103.8575,7408.167,84.898796,3728.893,0.0,0.0,240.7189,1246.7344,285.64203,0.0,681.5447,71.47197,2106.45,3835.289,2224.576,117.758064,0.0,0.0,679.6651,1150.3236,1146.0182,349.67798,0.0,156.25392,1530.2725,1524.5365,485.25613,2689.601,1033.3425,7305.3184,447.46964,175.54028,396.56628,680.7232,1382.771,2124.2236,312.8094,0.0,365.5646,3395.7234,677.50073,2635.104,0.0,0.0,1915.8068,6051.4004,0.0,52.980392,23.872787,47.734398,7.2678003,288.47705,212.3878,89.01581,55.92607,30.024584,10.003,45.237526,75.61189,82.754715,158.20024,10.003,44.33621,111.28496,115.29358,321.67923,161.75835,30.23583,62.68319,16.625328,49.382973,153.47171,346.53152,120.8596,623.0688,0.0,107.28577,85.58012,79.75537,144.30858,144.66525,7.2678003,29.489405,56.018738,45.085247,41.27718,573.5911,74.2423,46.38481,53.024796,53.71159,225.33461,47.21193,169.83041,45.264267,257.69833,43.36354,101.61978,52.47902,29.008585,99.97002,232.81729,19.494898,98.69651,203.48787,124.574394,14.428826,301.83954,15.485635,75.96291,0.0,52.024544,107.74682,33.00768,33.515892,64.38889,64.582634,111.36446,50.511616,62.566257,43.57833,280.94794,22.45032,22.888796,23.3188,33.183643,77.9591,23.3188,13.767463,0,BIOKEY_14
BIOKEY_14_On,374.8757,173.15758,0.0,0.0,93.11093,260.893,610.99304,1914.8469,676.155,3077.3008,2672.5017,1045.3457,1945.515,1148.5785,1112.9717,255.65695,2546.6238,949.2911,1795.4102,3182.1526,0.0,0.0,2879.5378,707.0766,142.24252,80.76489,999.78284,853.2349,160.19696,249.3808,1239.6969,494.04514,1681.6492,3170.2512,1292.3623,1052.4193,92.193665,286.66092,3303.419,1017.7791,945.00165,5957.0674,0.0,2291.8887,0.0,0.0,1026.459,539.3898,1037.9575,0.0,856.4074,221.84462,3465.1216,5044.7407,1253.9783,215.43275,0.0,0.0,1159.369,431.9059,977.936,958.45734,0.0,1466.5939,1399.2365,3048.4329,311.87305,3187.2517,372.33124,7884.128,899.34735,448.3706,1638.3397,1201.9849,618.69086,2301.436,230.97842,0.0,267.97684,5777.9214,1867.9229,5635.741,0.0,97.51956,4861.408,2380.544,0.0,40.903755,0.0,30.051847,167.63309,561.8048,295.77563,57.825745,0.0,0.0,0.0,0.0,16.979296,325.21362,99.6482,0.0,16.15615,16.15615,75.94491,97.64958,14.093944,0.0,26.937584,0.0,22.118927,27.57565,398.07712,96.49013,510.8429,0.0,90.243385,116.89653,52.197304,87.70072,126.389786,0.0,27.57565,29.283669,27.57565,39.098225,270.25388,46.262966,16.15615,0.0,55.254375,140.8777,14.093944,319.8518,26.937584,92.983505,0.0,63.187298,22.118927,263.43546,172.27917,286.4198,0.0,120.69208,193.05331,63.875015,28.11679,699.4687,0.0,51.37416,0.0,23.92446,14.093944,31.07324,14.093944,16.979296,23.92446,189.0302,16.15615,16.15615,44.990017,744.8222,0.0,0.0,0.0,0.0,33.135445,0.0,0.0,1,BIOKEY_14
BIOKEY_19_Pre,618.1688,0.0,0.0,0.0,0.0,68.311,372.58484,1037.0603,504.1319,2254.2307,1606.1664,1461.1969,1093.7852,990.77893,606.51385,0.0,1298.8768,0.0,1031.0087,811.12476,318.7179,0.0,2543.2368,945.57416,0.0,563.941,304.45514,510.61432,983.82556,601.682,0.0,0.0,812.0199,1093.345,902.4268,1646.3757,824.91095,0.0,1131.6603,585.23737,2495.6746,6083.1973,372.58484,1819.1641,0.0,0.0,284.3623,1153.5409,633.4605,0.0,509.90585,0.0,2232.6226,3246.3708,2695.3562,0.0,0.0,0.0,878.6605,759.1091,704.89465,235.40936,0.0,212.65251,3246.7305,1791.6648,716.9562,2881.471,427.00623,6888.7095,368.22745,195.09596,957.7753,935.38995,789.5812,1871.2363,1140.2693,0.0,707.13525,4543.2427,522.407,2220.9094,0.0,0.0,3208.112,6782.4756,0.0,83.03693,28.60143,55.241913,80.86911,336.18982,145.77646,113.25193,71.17861,31.720163,27.914862,48.326313,55.749226,126.55284,99.82393,70.54954,53.719215,64.10498,138.50253,255.81201,188.39305,60.182,72.18562,24.189293,33.32354,192.43181,279.3184,63.288193,693.2122,40.512993,174.63258,116.59446,139.73518,217.516,138.607,73.20713,56.966484,48.351784,31.993578,37.608727,328.97086,44.363964,38.96673,45.018063,66.20532,303.43143,40.033054,174.41995,94.62717,189.22823,6.770534,38.53893,55.884666,207.18985,117.88218,147.29227,35.23107,168.95425,107.87919,61.44792,50.833084,559.385,28.878101,131.63292,12.911564,103.58457,138.8454,75.28616,65.29253,36.544147,49.55157,144.6091,42.04723,52.45214,39.808224,534.90137,12.831951,24.68415,5.5334463,23.179455,43.4549,16.763937,35.61499,0,BIOKEY_19
BIOKEY_19_On,214.81345,0.0,52.838215,84.31487,136.46072,68.71847,143.1854,1307.0667,1018.95447,2734.047,1655.0996,1021.8761,567.46063,1269.722,966.6054,224.50278,1741.5123,174.42813,1142.4619,1181.1998,118.09649,0.0,2410.0537,1478.8649,175.58862,345.20145,216.72078,834.5938,248.29976,34.49929,712.68036,182.81398,1293.6017,2137.1855,1716.8285,957.48834,164.08377,146.39192,2193.1733,531.66266,1096.8779,4098.7954,69.42822,1041.4829,0.0,19.752579,752.9044,379.2898,1103.6917,33.73152,1412.0303,198.10913,2194.558,5063.1523,508.5588,103.33009,0.0,82.59778,1291.4872,532.76587,701.5546,686.12164,72.81795,536.9332,1653.9141,3291.2122,88.00295,3341.481,268.75125,7398.495,863.0583,295.7996,1487.2976,630.084,344.29898,2372.923,222.7954,100.63198,421.3883,5345.617,1345.8235,5545.797,0.0,245.91806,3947.3027,2805.123,93.14812,44.45947,22.399168,13.449487,104.79707,349.52884,152.22388,65.977165,60.98792,28.596094,7.7586265,9.184615,41.896202,337.2683,67.38393,41.500053,39.986958,40.118824,95.64711,239.7399,151.82474,12.547992,17.121042,0.0,20.471626,84.050255,435.66034,42.594807,272.3111,6.022542,128.09766,118.02037,67.12816,84.497604,84.44434,19.925055,26.42541,34.035076,24.662941,16.99406,342.2117,21.79885,19.349358,32.773083,31.955187,263.00845,0.0,283.0148,38.144543,174.1312,6.99565,40.65611,41.40847,193.5521,92.59604,195.82396,15.329893,66.87537,242.1376,40.75103,31.00451,756.8893,10.127493,125.123405,4.009032,71.631035,56.150333,65.62494,25.017618,17.504753,34.850098,183.57744,52.492176,18.593058,22.731339,589.69684,7.763425,32.88328,3.754393,5.648766,42.66572,15.598787,9.510127,1,BIOKEY_19
BIOKEY_28_Pre,826.59766,242.45087,21.922926,0.0,109.853355,0.0,452.5072,1543.487,799.0577,2170.6482,1080.4596,2211.9756,941.3776,1567.0148,543.88385,464.8449,939.54144,0.0,1008.1397,161.76738,761.5417,712.58075,2977.5193,1739.0413,106.14442,273.9794,236.63878,381.29553,429.7315,1305.2285,110.31553,858.1974,1540.0817,2191.8428,289.43768,2349.7253,1113.8052,158.01921,666.7458,1296.7734,4123.4434,5704.9653,278.70267,2038.0444,0.0,0.0,1383.7125,813.0608,1105.5514,0.0,1130.2103,185.1911,1716.0193,1900.7595,1472.7375,0.0,0.0,0.0,369.15048,960.62384,1200.4727,385.5308,0.0,1174.5867,2437.196,3210.3037,842.4486,1887.2487,792.21545,5710.3657,547.12476,843.6704,715.02655,773.2836,1248.3383,2527.8455,282.9901,614.2608,721.0063,3287.8958,365.40793,1210.2982,0.0,83.338974,2403.7744,5416.185,29.004543,48.01527,49.729336,21.083204,2.6997488,294.11,227.71474,57.888565,38.20056,56.076122,22.234669,24.051643,18.515253,182.88231,103.81879,24.209984,26.612461,81.402115,191.26709,434.27762,139.41823,39.050114,22.311897,0.0,68.05017,147.374,427.9701,33.481976,489.85065,24.43864,85.31628,17.699104,52.521297,78.4517,136.80583,30.730228,23.070711,30.25746,31.805164,15.576541,349.2711,33.14646,14.624082,35.991104,85.2186,174.68509,6.833717,144.88583,59.34715,153.04285,59.186756,13.823453,58.622417,65.40652,111.54307,271.07013,13.822876,107.40828,298.71252,90.68503,41.222366,313.84308,6.070135,120.83307,6.419121,61.40692,80.51189,31.209526,54.482788,53.12127,15.125054,95.33924,52.77443,23.699038,24.897943,157.49844,17.930311,64.21476,26.79005,13.693859,49.175144,14.510681,12.337249,0,BIOKEY_28
BIOKEY_28_On,273.97125,516.2374,106.276886,19.757988,293.6207,66.88576,1166.3494,1651.0667,899.52893,2522.34,1439.3931,1912.4481,760.0885,1851.8657,973.22516,1420.9487,1452.7847,109.06447,1189.6808,652.4395,286.82364,286.04965,3748.243,2480.67,289.89496,306.5809,767.6984,649.37524,114.65904,759.552,423.46588,1157.7592,1905.3345,3499.3635,171.78178,1044.6289,740.95703,159.22879,1540.4186,680.6759,1879.2491,4929.111,126.52915,922.0017,15.541115,88.82187,1601.6205,549.5459,2377.0125,29.951443,2653.5137,304.33218,3514.4526,4524.954,447.07925,93.80607,28.456947,33.88756,1189.2577,1019.8988,809.36694,333.575,47.606632,3360.2034,2164.219,4940.317,256.5181,2825.7861,566.7348,6899.683,716.7903,1328.7626,771.8751,1196.8713,526.74615,3448.2595,63.953312,823.9207,353.07785,5051.3975,453.1634,3932.062,12.872095,129.78288,4124.5957,2329.8203,32.785213,0.0,0.0,0.0,608.12195,486.32587,229.74648,62.72371,0.0,42.98779,0.0,0.0,0.0,167.62776,42.98779,0.0,0.0,42.98779,105.7115,73.517654,0.0,0.0,42.98779,0.0,0.0,42.98779,564.9505,0.0,308.87018,0.0,0.0,42.98779,0.0,0.0,73.517654,0.0,0.0,0.0,0.0,0.0,218.49167,0.0,0.0,0.0,0.0,105.7115,0.0,303.93274,0.0,42.98779,0.0,0.0,0.0,327.56235,246.14648,309.5708,0.0,113.894424,300.13504,73.517654,0.0,227.2633,0.0,42.98779,0.0,0.0,0.0,0.0,62.72371,42.98779,0.0,203.1587,42.98779,0.0,0.0,301.34726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,BIOKEY_28
